seed
1.044352
0.0
24.7228
7.5037
73.4604
5.4848
131.9791
325.1071
429.5991
499.3051
623.7485
718.8491
6.8868
190.0943
336.2457
6.252
43.9407
8.9067
54.8889
18.53704
144.4815
297.0832
439.3438
556.8926
5.981749
111.4081
271.4733
345.9262
4.666092
8.403338
12.5178
73.1512
202.878
283.0834
336.4844
5.631725
106.5615
215.6384
5.298792
98.54947
5.631336
4.149501
80.68699
185.8622
275.0851
388.6207
451.6502
5.381891
76.29771
7.2701
91.7896
232.0406
6.1684
134.2098
251.2581
412.2283
429.4318
590.471
677.3167
6.8864
105.2888
150.3975
222.6457
308.7142
7.4364
95.3659
233.0636
9.021
118.0508
7.0456
7.0622
152.9566
282.3457
378.1868
667.0584
677.1229
752.1868
804.8216
879.8704
1120.398
1201.678
1339.026
1367.825
1399.618
7.7129
125.3609
261.4498
7.5965
68.6036
150.967
251.8087
371.0832
515.7025
624.7105
743.045
807.0778
952.9469
1027.41
4.6334
68.2745
146.8712
202.7104
284.5056
432.4425
7.2649
93.8014
165.9829
259.5705
351.8084
451.4494
5.6323
116.7242
208.9812
282.7995
39.8055
12.7854
5.1032
73.5505
73.5505
207.872
30.5531
30.5531
103.0537
113.2377
67.1104
67.1104
71.6001
74.7664
23.0203
23.0203
23.0203
19.2059
19.2059
35.8437
158.3216
286.4518
72.6394
5.965
123.901
64.9602
70.9843
